"","subslice","subject","slice","date","pnd","group","RMP.start","RMP.pre","RMP.ttx","RMP.xe","cm.start","cm.pre","cm.ttx","cm.xe","rm.start","rm.pre","rm.ttx","rm.xe","ra.start","ra.pre","ra.ttx","ra.xe","tau.start","tau.pre","tau.ttx","tau.xe","hold.start","hold.pre","hold.ttx","hold.xe","inp.start.10","inp.start.n10","inp.pre.10","inp.pre.n10","inp.ttx.10","inp.ttx.n10","inp.xe.10","inp.xe.n10","epsc.events","epsc.peak","epsc.amp","epsc.auc.pAms","epsc.decayfit.b0","epsc.decayfit.b1","epsc.decayfit.tau","epsc.decayfit.r2","mepsc.events","mepsc.peak","mepsc.amp","mepsc.auc.pAms","mepsc.decayfit.b0","mepsc.decayfit.b1","mepsc.decayfit.tau","mepsc.decayfit.r2","max_MC_pA"
"11","F3.5A","F3.5","A","07/24/25",91,"Veh",-50.6,-56.2,NA,NA,19.42,17.82,NA,NA,190.7,221,NA,NA,11.6,20,NA,NA,211.8,326.4,NA,NA,-127.6,-92.2,NA,NA,-224.609,-397.949,34.79,-18.9209,NA,NA,NA,NA,255,-36.01792076,-10.49278024,-44.01178983,-27.92533489,-8.85941455,2.267067645,0.9880840332,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","F3.5B","F3.5","B","07/24/25",91,"Veh",-65.3,-63.8,NA,NA,17.22,13.94,NA,NA,83.1,99.3,NA,NA,74.4,69.6,NA,NA,676.2,570.4,NA,NA,-78.1,-83.4,NA,NA,106.201,-4.27246,-17.0898,-266.113,NA,NA,NA,NA,273,24.06081767,-14.76648251,-55.39968444,38.76143973,-14.77416635,2.882023345,0.9967285208,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","F3.5C","F3.5","C","07/24/25",91,"Veh",-68.2,-66,-71.3,-63.4,18.79,29.07,33.4,31.1,253.9,36.9,42.6,47.7,49.5,38.6,36.6,39.6,777.7,548.5,657,639.1,-35.4,-162.4,-87.3,-194.1,88.501,6.10352,213.013,-37.2314,292.358,32.959,153.809,-116.577,126,97.3074709,-15.49324135,-56.32515876,112.80015,-16.00369206,2.982698662,0.9849327756,148,152.7074843,-14.45872171,-50.21168714,167.4281227,-15.38811385,3.060345692,0.9954655574,62.255859375
"14","F3.5D","F3.5","D","07/24/25",91,"Veh",-76.3,-72.6,-73.9,-72.8,30.33,85.91,65.45,51.93,126,18.8,27.4,36.7,81.4,52.4,47.7,60.2,1500,1200,1100,1300,-63.5,-129.4,-105,-91.6,122.07,34.79,299.072,18.9209,292.358,24.4141,221.558,13.4277,120,97.26968886,-10.51432199,-37.72607977,108.8563535,-12.53931086,3.925229503,0.9946283054,22,141.2409002,-12.35129616,-56.60386536,153.7761194,-12.88373019,3.695567021,0.9889724635,-3.35693362499995
"15","MA25035A","MA25035","A","8/21/25",90,"Veh",-46.1,-58.3,-54.1,NA,22.4,31.07,28.96,NA,154,37,41.9,NA,34.6,38.2,45.2,NA,628.7,583.6,630,NA,-184.9,279.5,-275.3,NA,10.9863,-106.201,111.694,-134.888,70.1904,-155.64,NA,NA,68,3.509521526,-13.26078402,-65.4550357,15.93536428,-12.31705679,3.196235589,0.9899472113,69,-54.6397302,-13.6187996,-69.60284721,-41.7030698,-13.84513091,3.569410676,0.9924842517,NA
"16","MA25035B","MA25035","B","8/21/25",90,"Veh",-59.7,-62.6,-23,-19.5,21.7,45.12,2.88,1.18,384.6,59.2,43.6,499.9,70.5,76.2,45.6,46.3,1300,1500,118,50,-40.9,-112.3,-96.4,-97.7,12.207,-15.2588,86.0596,-42.7246,-40.8936,-52.4902,-52.4902,-82.3975,174,33.40797684,-12.85316272,-61.84992515,45.98551934,-13.57180991,3.434941047,0.9950920912,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","MA25039A","MA25039","A","8/26/25",94,"Veh",-71.2,-70.1,-69.3,-64.9,19.34,30.5,20.13,12.39,314.8,41.5,77.3,248.9,33.8,65.6,74.4,85.5,590.9,775.6,763.3,788.6,-127,-58,-43.3,-30.5,17.0898,16.4795,184.937,18.3105,137.329,14.0381,50.0488,-4.27246,228,114.695224,-14.29882774,-55.84062595,128.8920041,-14.8785906,2.867322014,0.9974450057,282,80.98196016,-10.38982552,-86.13406909,90.00534328,-9.125455393,5.631693549,0.9966094268,4.57763669999997
"18","MA25039B","MA25039","B","8/26/25",94,"Veh",-71.3,-68.7,-69.3,-66.8,19.41,50.07,42.23,24.46,292.8,22.7,38.9,93.4,63.4,43.4,52.1,54.2,1000,745.5,940.9,838.7,-44.6,-123.9,-92.8,-75.7,28.0762,24.4141,286.865,14.6484,242.92,15.8691,119.629,-5.49316,34,176.4095387,-13.32361468,-37.85211743,190.6653066,-14.6239994,2.775831354,0.9877039989,20,125.8850063,-14.06860672,-46.36002095,139.7659825,-13.69458855,2.395447793,0.9643336128,5.49316407499998
"19","MA25039C","MA25039","C","8/26/25",94,"Veh",-48.6,-40.7,-34.1,-26.5,28.16,30.48,28.33,38.59,374.4,64.5,65.3,73.3,15.7,42.6,63.7,82.7,424.9,781.7,913.7,1500,-145.9,-315.6,-301.5,-311.3,-69.5801,-153.198,-65.3076,-219.727,-109.253,-237.427,-122.681,-245.972,223,-121.6241759,-10.19478888,-79.99363708,-113.0528216,-7.869191763,5.374902011,0.9572399641,24,-170.7458356,-11.99340057,-71.13005026,-159.664789,-12.04656746,3.692098804,0.9848812737,NA
"20","MA25045A","MA25045","A","8/27/25",95,"Veh",-51,-57.2,-44,-30.5,17.74,13.23,6.81,4.86,347.4,376.9,530,241.5,112.2,119.6,182.7,40.9,1500,1200,1200,170.2,-60.4,44.6,-40.3,-175.8,-17.0898,-30.5176,51.8799,43.9453,-57.373,-57.373,-77.5146,-145.264,41,3.944955006,-11.70386293,-43.83589398,16.26274955,-12.88380695,3.830380763,0.9895990684,6,-18.51399549,-12.43082549,-79.08120735,-7.038658829,-12.19378236,3.596651635,0.9648032412,NA
